States, Latitude, Longitude
Abia  , -84.0,  -243.0
Adamawa ,243.0 ,29.0
Akwa Ibom,-64.0, -283.0
Anambra, -124.0, -201.0
Bauchi, 71.0 ,103.0
Benue ,-16.0, -113.0
Borno ,289.0 ,212.0
Cross ,-15.0, -210.0
Delta ,-196.0 ,-240.0
Ebonyi,-46.0 ,-183.0
Edo ,-212.0, -173.0
Ekiti ,-235.0 ,-91.0
Enugu, -94.0 , -170.0
Federal Capital Territory(abuja)
Gombe
Imo
Jigawa
Kaduna
Kano
Katsina
Kebbi
Kogi
Kwara
Lagos
Nassarawa
Niger
Ogun
Ondo
Osun
Oyo
Plateau
Rivers
Sokoto
Taraba
Yobe
Zamfara
