,0
0,Abia
1,Adamawa
2,Akwa Ibom
3,Anambra
4,Bayelsa
5,Cross river
6,Delta
7,Ebonyi
8,Edo
9,Ekiti
10,Enugu
11,FCT(abuja)
12,Gombe
13,Imo
14,Jigawa
15,Kaduna
16,Katsina
17,Kebbi
18,Kogi
19,Kwara
20,Lagos
21,Nassarawa
22,Niger
23,Ogun
24,Ondo
25,Osun
26,Rivers
27,Yobe
28,Zamfara
